[DEBUG] 2021-04-12 23:20:43.051 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2021-04-12 23:20:43.054 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2021-04-12 23:20:43.061 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2021-04-12 23:20:43.192 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2021-04-12 23:20:43.195 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2021-04-12 23:20:43.600 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2021-04-12 23:20:43.601 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2021-04-12 23:20:43.608 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2021-04-12 23:20:44.405 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2021-04-12 23:20:44.503 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2021-04-12 23:20:44.505 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2021-04-12 23:20:44.606 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2021-04-12 23:20:44.713 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@6f3e19b3
[DEBUG] 2021-04-12 23:20:44.713 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@6f3e19b3
[DEBUG] 2021-04-12 23:20:44.713 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@6f3e19b3
[DEBUG] 2021-04-12 23:20:44.714 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@b16e202
[DEBUG] 2021-04-12 23:20:44.715 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@10c07b8d
[DEBUG] 2021-04-12 23:20:44.716 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@5d51e129
[DEBUG] 2021-04-12 23:20:44.718 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@109a2025
[DEBUG] 2021-04-12 23:20:44.718 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@109a2025
[DEBUG] 2021-04-12 23:20:44.718 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@109a2025
[DEBUG] 2021-04-12 23:20:44.720 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@6c9320c2
[DEBUG] 2021-04-12 23:20:44.721 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@6c9320c2
[DEBUG] 2021-04-12 23:20:44.723 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@6c9320c2
[DEBUG] 2021-04-12 23:20:44.730 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@1e43e323
[DEBUG] 2021-04-12 23:20:44.732 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@1e43e323
[DEBUG] 2021-04-12 23:20:44.734 [main] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@1e43e323
[DEBUG] 2021-04-12 23:20:44.738 [main] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@49c675f0
[DEBUG] 2021-04-12 23:20:44.741 [main] BasicTypeRegistry - Adding type registration int -> org.hibernate.type.IntegerType@49c675f0
