[DEBUG] 2021-04-11 21:01:44.037 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2021-04-11 21:01:44.043 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2021-04-11 21:01:44.045 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2021-04-11 21:01:44.110 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2021-04-11 21:01:44.112 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2021-04-11 21:01:44.333 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2021-04-11 21:01:44.338 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2021-04-11 21:01:44.342 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2021-04-11 21:01:44.678 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2021-04-11 21:01:44.737 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2021-04-11 21:01:44.738 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2021-04-11 21:01:44.772 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2021-04-11 21:01:44.875 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@5fac521d
[DEBUG] 2021-04-11 21:01:44.878 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@5fac521d
[DEBUG] 2021-04-11 21:01:44.878 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@5fac521d
[DEBUG] 2021-04-11 21:01:44.878 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@3abfe845
[DEBUG] 2021-04-11 21:01:44.878 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@7f08caf
[DEBUG] 2021-04-11 21:01:44.882 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@27a2a089
[DEBUG] 2021-04-11 21:01:44.883 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@2aa6311a
[DEBUG] 2021-04-11 21:01:44.883 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@2aa6311a
[DEBUG] 2021-04-11 21:01:44.887 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@2aa6311a
[DEBUG] 2021-04-11 21:01:44.888 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@2d0ecb24
[DEBUG] 2021-04-11 21:01:44.888 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@2d0ecb24
[DEBUG] 2021-04-11 21:01:44.888 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@2d0ecb24
[DEBUG] 2021-04-11 21:01:44.891 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@7e00ed0f
[DEBUG] 2021-04-11 21:01:44.894 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@7e00ed0f
[DEBUG] 2021-04-11 21:01:44.894 [main] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@7e00ed0f
[DEBUG] 2021-04-11 21:01:44.895 [main] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@65753040
[DEBUG] 2021-04-11 21:01:44.898 [main] BasicTypeRegistry - Adding type registration int -> org.hibernate.type.IntegerType@65753040
[DEBUG] 2021-04-11 21:01:44.901 [main] BasicTypeRegistry - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@65753040
[DEBUG] 2021-04-11 21:01:44.903 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@4e1459ea
[DEBUG] 2021-04-11 21:01:44.903 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@4e1459ea
[DEBUG] 2021-04-11 21:01:44.906 [main] BasicTypeRegistry - Adding type registration java.lang.Long -> org.hibernate.type.LongType@4e1459ea
